,本月,前月,前月比,前年同月,前年同月比,過去最高（年月）,過去最高（年月）,１月～４月累計,１月～４月累計,１月～４月累計,占拠率,占拠率
,本月,前月,前月比,前年同月,前年同月比,過去最高（年月）,過去最高（年月）,００年(A),９９年(B),(A / B),本月,本年
ホンダ,2355,1332,176.8,1935,121.7,12707,82/7,4794,5015,95.6,29.5,24.0
ヤマハ,3291,2776,118.6,2298,143.2,9023,87/7,8524,5856,145.6,41.2,42.7
カワサキ,881,552,159.6,985,89.4,4093,93/4,2063,2431,84.9,11.0,10.3
スズキ,1203,1362,88.3,1251,96.2,7280,83/4,3678,3331,110.4,15.1,18.4
その他,252,292,86.3,209,120.6,315,95/4,919,545,168.6,3.2,4.6
合計,7982,6314,126.4,6678,119.5,27701,88/4,19978,17178,116.3,100.0,100.0
