Unnamed: 0_level_0,本月,前月,前月比 （%）,前年同月,前年同月比 （%）,過去最高（年月）,過去最高（年月）,1月～ 4月累計,1月～ 4月累計,1月～ 4月累計,占 拠 率,占 拠 率
Unnamed: 0_level_1,本月,前月,前月比 （%）,前年同月,前年同月比 （%）,過去最高（年月）,過去最高（年月）.1,22年A,21年B,(A/B),本月,本年
ホ ン ダ,3831,2592,147.8,4112,93.2,12707,1982/ 7,11821,9527,124.1,43.4,47.1
ヤ マ ハ,1437,970,148.1,2476,58.0,9023,1987/ 7,4030,6049,66.6,16.3,16.1
カワサキ,1136,655,173.4,1132,100.4,4093,1993/ 4,2987,2604,114.7,12.9,11.9
ス ズ キ,1721,962,178.9,1718,100.2,7280,1983/ 4,4462,4059,109.9,19.5,17.8
そ の 他,698,383,182.2,683,102.2,898,2008/ 7,1786,1733,103.1,7.9,7.1
合 計,8823,5562,158.6,10121,87.2,27701,1988/ 4,25086,23972,104.6,100.0,100.0
