Unnamed: 0_level_0,本月,前月,前月比 （%）,前年同月,前年同月比 （%）,過去最高（年月）,過去最高（年月）,1月～ 7月累計,1月～ 7月累計,1月～ 7月累計,占 拠 率,占 拠 率
Unnamed: 0_level_1,本月,前月,前月比 （%）,前年同月,前年同月比 （%）,過去最高（年月）,過去最高（年月）.1,22年A,21年B,(A/B),本月,本年
ホ ン ダ,2334,3143,74.3,3221,72.5,12707,1982/ 7,20119,18491,108.8,39.7,45.2
ヤ マ ハ,1160,1300,89.2,1719,67.5,9023,1987/ 7,7604,10860,70.0,19.7,17.1
カワサキ,779,820,95.0,833,93.5,4093,1993/ 4,5366,4823,111.3,13.3,12.1
ス ズ キ,1032,1313,78.6,1263,81.7,7280,1983/ 4,7984,7655,104.3,17.6,17.9
そ の 他,574,598,96.0,522,110.0,898,2008/ 7,3414,3291,103.7,9.8,7.7
合 計,5879,7174,81.9,7558,77.8,27701,1988/ 4,44487,45120,98.6,100.0,100.0
