,本月,前月,前月比,前年同月,前年同月比,過去最高（年月）,過去最高（年月）,１月～１月累計,１月～１月累計,１月～１月累計,占拠率,占拠率
,本月,前月,前月比,前年同月,前年同月比,過去最高（年月）,過去最高（年月）,０６年(A),０５年(B),(A / B),本月,本年
ホンダ,1880,2557,73.5,1849,101.7,12707,82/ 7,1880,1849,101.7,40.5,40.5
ヤマハ,1087,1935,56.2,1025,106.0,9023,87/ 7,1087,1025,106.0,23.4,23.4
カワサキ,471,559,84.3,482,97.7,4093,93/ 4,471,482,97.7,10.2,10.2
スズキ,976,1145,85.2,890,109.7,7280,83/ 4,976,890,109.7,21.0,21.0
その他,226,321,70.4,193,117.1,442,02/ 4,226,193,117.1,4.9,4.9
合計,4640,6517,71.2,4439,104.5,27701,88/ 4,4640,4439,104.5,100.0,100.0
