,本月,前月,前月比,前年同月,前年同月比,過去最高（年月）,過去最高（年月）,１月～２月累計,１月～２月累計,１月～２月累計,占拠率,占拠率
,本月,前月,前月比,前年同月,前年同月比,過去最高（年月）,過去最高（年月）,０１年(A),００年(B),(A / B),本月,本年
ホンダ,1854,1430,129.7,585,316.9,12707,82/7,3284,1107,296.7,39.6,40.0
ヤマハ,1253,979,128.0,1478,84.8,9023,87/7,2232,2457,90.8,26.8,27.2
カワサキ,477,236,202.1,345,138.3,4093,93/4,713,630,113.2,10.2,8.7
スズキ,928,733,126.6,647,143.4,7280,83/4,1661,1113,149.2,19.8,20.3
その他,169,142,119.0,198,85.4,315,95/4,311,375,82.9,3.6,3.8
合計,4681,3520,133.0,3253,143.9,27701,88/4,8201,5682,144.3,100.0,100.0
