Unnamed: 0_level_0,本月,前月,前月比 （%）,前年同月,前年同月比 （%）,過去最高（年月）,過去最高（年月）,1月～ 9月累計,1月～ 9月累計,1月～ 9月累計,占 拠 率,占 拠 率
Unnamed: 0_level_1,本月,前月,前月比 （%）,前年同月,前年同月比 （%）,過去最高（年月）,過去最高（年月）.1,17年A,16年B,(A/B),本月,本年
ホ ン ダ,1793,1560,114.9,1070,167.6,12707,1982/ 7,14107,9436,149.5,31.4,31.7
ヤ マ ハ,2019,1639,123.2,1645,122.7,9023,1987/ 7,16817,14932,112.6,35.3,37.8
カワサキ,693,586,118.3,703,98.6,4093,1993/ 4,5790,6593,87.8,12.1,13.0
ス ズ キ,948,691,137.2,440,215.5,7280,1983/ 4,5569,3632,153.3,16.6,12.5
そ の 他,263,237,111.0,241,109.1,898,2008/ 7,2220,2184,101.6,4.6,5.0
合 計,5716,4713,121.3,4099,139.4,27701,1988/ 4,44503,36777,121.0,100.0,100.0
